id;name;cpf;email;avatar;avatar_content_type;birth_date;excluded
1;holistic Travessa;Borracha;MariaLuiza_Martins@bol.com.br;../fake-data/blob/hipster.png;image/png;2022-06-11;false
2;deposit payment Principal;invoice ouro Borracha;Nicolas.Barros67@gmail.com;../fake-data/blob/hipster.png;image/png;2022-06-10;false
3;Customer;Granito;Samuel.Moreira@yahoo.com;../fake-data/blob/hipster.png;image/png;2022-06-10;true
4;mobile Direct;Afghani navigating;Sophia.Melo@gmail.com;../fake-data/blob/hipster.png;image/png;2022-06-11;false
5;connecting Research payment;Multi-tiered Niue;Isadora8@hotmail.com;../fake-data/blob/hipster.png;image/png;2022-06-11;false
6;tolerance back;Sapatos Integration;Talita16@hotmail.com;../fake-data/blob/hipster.png;image/png;2022-06-10;false
7;Manager Plástico;deposit;Isaac75@hotmail.com;../fake-data/blob/hipster.png;image/png;2022-06-10;false
8;payment invoice generating;cultivate;Lvia_Saraiva37@yahoo.com;../fake-data/blob/hipster.png;image/png;2022-06-11;true
9;Eletrônicos;azul;Manuela_Barros47@bol.com.br;../fake-data/blob/hipster.png;image/png;2022-06-10;false
10;Operations;Infrastructure auxiliary programming;Maria79@bol.com.br;../fake-data/blob/hipster.png;image/png;2022-06-10;false
